guid	name	level_start	level_end	xp_start	xp_end	money_start_copper	money_end_copper	online_snapshot_pct	location_change_intervals	xp_increase_intervals	max_unchanged_continuous_minutes
88	Caminevane	17	71	840	468968	8104577	18017803	100.0	118	103	101.5
109	Tibevon	75	76	0	74301	10819220	10848669	100.0	99	80	100.0
121	Cekis	62	62	1860	486964	19274025	19457848	100.0	119	108	20.0
173	Hjorgul	14	77	570	113410	4305488	14708650	100.0	110	116	40.0
200	Nythinne	79	80	38346	1533	13603905	13853214	100.0	124	89	50.0
213	Kelgih	19	71	519	992790	4715648	26441021	100.0	118	90	50.0
308	Ramdiir	55	57	5670	103846	21461389	26620621	100.0	102	79	70.0
357	Sugzapo	69	78	16249	1249584	16189263	30195150	100.0	112	65	20.0
416	Fisy	77	78	84031	996801	9872226	9973983	100.0	106	89	30.0
417	Kany	56	57	0	8662	14632360	14712964	100.0	92	71	90.0
