event_time_local	bot_guid	bot_name	level_before	level_after	xp_before	xp_after	money_before_copper	money_after_copper	map_zone_before	map_zone_after	classification
2026-09-15T00:40:02-03:00	173	Hjorgul	14	74	1200	0	4305488	8269710	0/38	571/65	artificial_relevel
2026-09-15T00:50:01-03:00	173	Hjorgul	74	3	0	0	8269710	1233677	571/65	0/1	artificial_relevel
2026-09-15T00:50:01-03:00	213	Kelgih	19	4	519	0	4715648	1959512	1/17	1/215	artificial_relevel
2026-09-15T00:50:01-03:00	308	Ramdiir	55	2	9420	0	21461389	687955	1/361	530/3524	artificial_relevel
2026-09-15T00:50:01-03:00	357	Sugzapo	69	1	16249	0	16189263	348580	530/3523	530/3523	artificial_relevel
2026-09-15T01:10:01-03:00	357	Sugzapo	1	2	300	50	348585	348585	1/14	1/14	organic_compatible_levelup
2026-09-15T01:30:01-03:00	173	Hjorgul	3	4	972	4	1233721	1233746	0/1	0/1	organic_compatible_levelup
2026-09-15T01:30:01-03:00	308	Ramdiir	2	3	678	42	687967	687967	530/3524	530/3524	organic_compatible_levelup
2026-09-15T01:40:01-03:00	173	Hjorgul	4	28	4	0	1233746	7074692	0/1	0/1	artificial_relevel
2026-09-15T01:40:01-03:00	213	Kelgih	4	34	780	0	1959544	13727282	1/215	1/215	artificial_relevel
2026-09-15T01:40:01-03:00	357	Sugzapo	2	49	215	0	348585	7317781	1/14	1/14	artificial_relevel
2026-09-15T02:20:01-03:00	308	Ramdiir	3	4	1158	10	687992	689320	530/3524	530/3524	organic_compatible_levelup
2026-09-15T04:10:01-03:00	308	Ramdiir	4	5	1843	139	689352	689356	530/3524	530/3524	organic_compatible_levelup
2026-09-15T04:20:01-03:00	173	Hjorgul	28	76	18360	0	7076756	14597268	1/331	1/331	artificial_relevel
2026-09-15T04:20:01-03:00	213	Kelgih	34	70	4068	0	13734549	26151783	1/400	1/1638	artificial_relevel
2026-09-15T05:20:01-03:00	88	Caminevane	17	70	12094	0	8104619	17291282	530/3525	0/44	artificial_relevel
2026-09-15T05:50:02-03:00	308	Ramdiir	5	6	2164	18	691104	691107	530/3524	530/3524	organic_compatible_levelup
2026-09-15T07:10:01-03:00	308	Ramdiir	6	57	1413	0	691107	26566525	530/3524	530/3524	artificial_relevel
2026-09-15T07:30:01-03:00	357	Sugzapo	49	38	39131	0	7341791	18645634	1/16	1/1638	artificial_relevel
2026-09-15T08:30:01-03:00	357	Sugzapo	38	78	0	0	18645634	30100236	1/1638	1/215	artificial_relevel
2026-09-15T12:00:01-03:00	213	Kelgih	70	71	1491425	23878	26179733	26190757	529/3358	571/495	organic_compatible_levelup
2026-09-15T12:10:01-03:00	416	Fisy	77	78	1609593	71752	9970534	9970534	566/3820	571/66	organic_compatible_levelup
2026-09-15T18:50:01-03:00	88	Caminevane	70	71	1504154	2206	17557488	17571874	530/3522	530/3522	organic_compatible_levelup
2026-09-15T20:10:01-03:00	200	Nythinne	79	80	1670098	1533	13822248	13822248	571/3711	571/4197	organic_compatible_levelup
2026-09-15T22:20:01-03:00	417	Kany	56	57	186968	2167	14695461	14695461	1/1377	0/4	organic_compatible_levelup
2026-09-16T00:00:01-03:00	173	Hjorgul	76	77	1560364	56391	14691698	14700510	566/3820	571/66	organic_compatible_levelup
2026-09-16T00:20:01-03:00	109	Tibevon	75	76	1593520	1644	10845547	10845547	571/3711	571/4395	organic_compatible_levelup
