name	guid	start_level	end_level	start_xp	end_xp	start_money	end_money	online_snapshots	snapshots	location_change_intervals	xp_increase_intervals
Caminevane	88	71	71	473042	1347053	18024186	18041885	115	115	93	74
Cekis	121	62	63	492522	268208	19468681	19599741	115	115	90	79
Fisy	416	78	79	1013037	882730	9973983	10206901	115	115	80	65
Hjorgul	173	77	77	117820	749815	14717774	14791259	115	115	86	46
Kany	417	57	57	8662	113501	14712964	14757519	115	115	61	34
Kelgih	213	71	72	1057416	893658	26441021	26479808	115	115	81	55
Nythinne	200	80	80	1533	1533	13892059	13989333	115	115	82	0
Ramdiir	308	57	58	105937	10022	26629038	26720467	115	115	60	39
Sugzapo	357	78	79	1249584	1153100	30202847	30489076	115	115	84	81
Tibevon	109	76	76	78705	1301711	10854303	10904110	115	115	77	72
